<<<<<<< HEAD
﻿Countries and areas,ISO Code,Region,Sub-region,Development regions,Indicator_7,Category_7,Total_7,total_upper_limit_7,total_lower_limit_7,Children without functional difficulties_7,cwf_upper_limit_7,cwf_lower_limit_7,Children with functional difficulties_7,cwd_upper_limit_7,cwd_lower_limit_7,Data source,Time period
Democratic Republic of the Congo,COD,SSA,WCA,Least Developed,Completion rate primary,Female,64.4,67.3,61.6,64.5,67.6,61.4,64.3,71.1,57.5,MICS6,2017-2018
Democratic Republic of the Congo,COD,SSA,WCA,Least Developed,Completion rate primary,Urban,80.8,83.6,78,80.9,83.9,77.9,80.4,87.6,73.2,MICS6,2017-2018
Democratic Republic of the Congo,COD,SSA,WCA,Least Developed,Completion rate primary,Rural,51.4,54,48.8,53.6,56.5,50.7,41.2,47.1,35.4,MICS6,2017-2018
Gambia,GMB,SSA,WCA,Least Developed,Completion rate primary,Total,65.5,68.9,62.1,67.8,71.3,64.3,,,,MICS6,2018
Gambia,GMB,SSA,WCA,Least Developed,Completion rate primary,Male,60.7,66,55.4,64.7,70.1,59.3,,,,MICS6,2018
Gambia,GMB,SSA,WCA,Least Developed,Completion rate primary,Female,69.2,73.6,64.7,70,74.6,65.5,,,,MICS6,2018
Gambia,GMB,SSA,WCA,Least Developed,Completion rate primary,Urban,75.1,79.2,70.9,77.7,81.8,73.6,,,,MICS6,2018
Gambia,GMB,SSA,WCA,Least Developed,Completion rate primary,Rural,45,50.4,39.5,46.2,51.8,40.5,,,,MICS6,2018
Ghana,GHA,SSA,WCA,Less Developed,Completion rate primary,Total,72.1,74.2,70,72.7,75,70.3,70,75,65,MICS6,2017-2018
Ghana,GHA,SSA,WCA,Less Developed,Completion rate primary,Male,70.1,73.2,67.1,71.4,74.7,68.1,63.5,71.1,56,MICS6,2017-2018
Ghana,GHA,SSA,WCA,Less Developed,Completion rate primary,Female,74.1,77,71.2,74.1,77.4,70.8,74.2,80.8,67.5,MICS6,2017-2018
Ghana,GHA,SSA,WCA,Less Developed,Completion rate primary,Urban,79.6,82.4,76.8,80.7,83.7,77.8,73.9,81,66.8,MICS6,2017-2018
Ghana,GHA,SSA,WCA,Less Developed,Completion rate primary,Rural,66.3,69.4,63.3,66,69.4,62.6,67.6,74.5,60.7,MICS6,2017-2018
Guinea-Bissau,GNB,SSA,WCA,Least Developed,Completion rate primary,Total,25.2,27.8,22.7,25.9,28.7,23.2,21,27.8,14.1,MICS6,2018-2019
Guinea-Bissau,GNB,SSA,WCA,Least Developed,Completion rate primary,Male,24.2,27.7,20.7,24.8,28.5,21.1,19.9,29.9,10,MICS6,2018-2019
Guinea-Bissau,GNB,SSA,WCA,Least Developed,Completion rate primary,Female,26.3,30.1,22.6,27.2,31.2,23.1,21.9,31.4,12.3,MICS6,2018-2019
Guinea-Bissau,GNB,SSA,WCA,Least Developed,Completion rate primary,Urban,46.9,51.9,41.9,48.7,54,43.4,,,,MICS6,2018-2019
Guinea-Bissau,GNB,SSA,WCA,Least Developed,Completion rate primary,Rural,12.1,14.5,9.7,11.9,14.5,9.4,13,19.9,6.1,MICS6,2018-2019
Guyana,GUY,LAC,LAC,Less Developed,Completion rate primary,Total,98.1,99.1,97.1,98.3,99.3,97.2,97.3,100.4,94.2,MICS6,2019-2020
Guyana,GUY,LAC,LAC,Less Developed,Completion rate primary,Male,96.8,98.7,95,97.3,99.2,95.5,93.6,100.2,87.1,MICS6,2019-2020
Guyana,GUY,LAC,LAC,Less Developed,Completion rate primary,Female,99.4,100.2,98.6,99.3,100.3,98.3,100,100,100,MICS6,2019-2020
Guyana,GUY,LAC,LAC,Less Developed,Completion rate primary,Urban,99.1,100.5,97.7,99.2,100.6,97.8,,,,MICS6,2019-2020
Guyana,GUY,LAC,LAC,Less Developed,Completion rate primary,Rural,97.9,99.2,96.6,98,99.4,96.7,97.2,100.9,93.4,MICS6,2019-2020
Iraq,IRQ,MENA,MENA,Less Developed,Completion rate primary,Total,75.2,76.7,73.7,78.6,80.2,77,61.7,65.3,58,MICS6,2018
Iraq,IRQ,MENA,MENA,Less Developed,Completion rate primary,Male,78.9,80.8,76.9,83.3,85.3,81.3,64.4,69.1,59.6,MICS6,2018
Iraq,IRQ,MENA,MENA,Less Developed,Completion rate primary,Female,71.5,73.8,69.2,74.3,76.7,71.8,57.8,63.6,51.9,MICS6,2018
Iraq,IRQ,MENA,MENA,Less Developed,Completion rate primary,Urban,79.9,81.6,78.2,83.4,85.1,81.6,66.6,71,62.3,MICS6,2018
Iraq,IRQ,MENA,MENA,Less Developed,Completion rate primary,Rural,65.9,68.8,63.1,69.4,72.5,66.3,50.5,57.2,43.8,MICS6,2018
Kiribati,KIR,EAP,EAP,Least Developed,Completion rate primary,Total,95.3,97.6,93,97,99,95,87.2,95.8,78.6,MICS6,2018-2019
Kiribati,KIR,EAP,EAP,Least Developed,Completion rate primary,Male,93.2,97.1,89.4,95.4,98.9,91.9,,,,MICS6,2018-2019
Kiribati,KIR,EAP,EAP,Least Developed,Completion rate primary,Female,97.4,99.8,95,98.6,100.6,96.7,,,,MICS6,2018-2019
Kiribati,KIR,EAP,EAP,Least Developed,Completion rate primary,Urban,96.1,99.5,92.7,96.7,100.1,93.4,,,,MICS6,2018-2019
Kiribati,KIR,EAP,EAP,Least Developed,Completion rate primary,Rural,94.5,97.5,91.4,97.2,99.7,94.8,,,,MICS6,2018-2019
Kosovo,,ECA,EECA,,Completion rate primary,Total,99,99.8,98.1,99.2,100,98.4,97.1,101.8,92.4,MICS6,2019-20
Kosovo,,ECA,EECA,,Completion rate primary,Male,98.6,99.9,97.4,98.8,100,97.5,,,,MICS6,2019-20
Kosovo,,ECA,EECA,,Completion rate primary,Female,99.4,100.4,98.4,99.7,100.4,98.9,,,,MICS6,2019-20
Kosovo,,ECA,EECA,,Completion rate primary,Urban,98.9,100.2,97.5,99.6,100.5,98.7,,,,MICS6,2019-20
Kosovo,,ECA,EECA,,Completion rate primary,Rural,99,100.1,98,98.9,100.1,97.8,,,,MICS6,2019-20
Kyrgyzstan,KGZ,ECA,EECA,Less Developed,Completion rate primary,Total,99.3,99.9,98.7,100,100,100,,,,MICS6,2018
Kyrgyzstan,KGZ,ECA,EECA,Less Developed,Completion rate primary,Male,98.6,99.7,97.4,100,100,100,,,,MICS6,2018
Kyrgyzstan,KGZ,ECA,EECA,Less Developed,Completion rate primary,Female,100,100,100,100,100,100,,,,MICS6,2018
Kyrgyzstan,KGZ,ECA,EECA,Less Developed,Completion rate primary,Urban,99.5,100.3,98.8,100,100,100,,,,MICS6,2018
Kyrgyzstan,KGZ,ECA,EECA,Less Developed,Completion rate primary,Rural,99.2,100,98.3,100,100,100,,,,MICS6,2018
Lesotho,LSO,SSA,ESA,Least Developed,Completion rate primary,Total,80.9,83.5,78.3,80.7,83.4,78,83,92.2,73.8,MICS6,2018
Lesotho,LSO,SSA,ESA,Least Developed,Completion rate primary,Male,70,74.2,65.8,70.4,74.7,66.1,,,,MICS6,2018
Lesotho,LSO,SSA,ESA,Least Developed,Completion rate primary,Female,92.4,94.9,89.9,92.4,95.1,89.8,,,,MICS6,2018
Lesotho,LSO,SSA,ESA,Least Developed,Completion rate primary,Urban,94.5,97.3,91.7,95.8,98.4,93.1,,,,MICS6,2018
Lesotho,LSO,SSA,ESA,Least Developed,Completion rate primary,Rural,73.9,77.3,70.4,73.3,76.9,69.8,,,,MICS6,2018
Madagascar,MDG,SSA,ESA,Least Developed,Completion rate primary,Total,55.4,57.3,53.4,56.9,59,54.8,45.2,50.4,39.9,MICS6,2018
Madagascar,MDG,SSA,ESA,Least Developed,Completion rate primary,Male,49.6,52.5,46.8,51.5,54.6,48.5,38.2,45.4,31,MICS6,2018
Madagascar,MDG,SSA,ESA,Least Developed,Completion rate primary,Female,61.2,63.9,58.5,62.3,65.2,59.5,53.3,60.7,45.8,MICS6,2018
Madagascar,MDG,SSA,ESA,Least Developed,Completion rate primary,Urban,74.9,78.1,71.7,75.9,79.3,72.5,68.5,77.8,59.2,MICS6,2018
Madagascar,MDG,SSA,ESA,Least Developed,Completion rate primary,Rural,49.6,51.9,47.3,51.4,53.9,48.8,38.1,44.1,32.1,MICS6,2018
Mongolia,MNG,EAP,EAP,Less Developed,Completion rate primary,Total,98.1,98.8,97.4,98.7,99.3,98,89.3,96,82.7,MICS6,2018
Mongolia,MNG,EAP,EAP,Less Developed,Completion rate primary,Male,96.8,98.1,95.5,97.6,98.7,96.4,,,,MICS6,2018
Mongolia,MNG,EAP,EAP,Less Developed,Completion rate primary,Female,99.5,100.1,99,99.9,100.2,99.6,,,,MICS6,2018
Mongolia,MNG,EAP,EAP,Less Developed,Completion rate primary,Urban,99.2,99.9,98.6,99.2,99.9,98.6,,,,MICS6,2018
Mongolia,MNG,EAP,EAP,Less Developed,Completion rate primary,Rural,96.1,97.5,94.6,97.6,98.8,96.4,,,,MICS6,2018
Nepal,NPL,SA,SA,Least Developed,Completion rate primary,Total,80.4,82.3,78.5,81.3,83.2,79.3,73.9,80.3,67.5,MICS6,2019
Nepal,NPL,SA,SA,Least Developed,Completion rate primary,Male,79.3,82,76.5,81.3,84.1,78.5,63.1,73,53.2,MICS6,2019
Nepal,NPL,SA,SA,Least Developed,Completion rate primary,Female,81.4,84.1,78.8,81.2,84,78.4,83,90.8,75.1,MICS6,2019
Nepal,NPL,SA,SA,Least Developed,Completion rate primary,Urban,80.5,83.1,77.9,81.3,84,78.6,75,83.5,66.4,MICS6,2019
Nepal,NPL,SA,SA,Least Developed,Completion rate primary,Rural,80.1,82.9,77.2,81.2,84.1,78.3,72,81.9,62.2,MICS6,2019
North Macedonia,MKD,ECA,EECA,More Developed,Completion rate primary,Total,95.2,97.8,92.6,94.9,97.8,92.1,,,,MICS6,2018-2019
North Macedonia,MKD,ECA,EECA,More Developed,Completion rate primary,Male,91.7,96.3,87.1,91,96,86,,,,MICS6,2018-2019
North Macedonia,MKD,ECA,EECA,More Developed,Completion rate primary,Female,99.3,100.8,97.8,99.5,100.8,98.1,,,,MICS6,2018-2019
North Macedonia,MKD,ECA,EECA,More Developed,Completion rate primary,Urban,92.5,97.5,87.4,92,97.5,86.5,,,,MICS6,2018-2019
North Macedonia,MKD,ECA,EECA,More Developed,Completion rate primary,Rural,99,100.6,97.4,99.2,100.7,97.6,,,,MICS6,2018-2019
State of Palestine,PSE,MENA,MENA,Less Developed,Completion rate primary,Total,99.8,100,99.5,99.9,100.1,99.8,98.6,100.4,96.7,MICS6,2019-2020
State of Palestine,PSE,MENA,MENA,Less Developed,Completion rate primary,Male,99.8,100.2,99.4,99.9,100.2,99.6,99.3,101,97.6,MICS6,2019-2020
State of Palestine,PSE,MENA,MENA,Less Developed,Completion rate primary,Female,99.7,100.2,99.3,100,100,100,97.7,101.3,94.1,MICS6,2019-2020
State of Palestine,PSE,MENA,MENA,Less Developed,Completion rate primary,Urban,99.8,100.2,99.5,99.9,100.2,99.7,99.3,101,97.5,MICS6,2019-2020
State of Palestine,PSE,MENA,MENA,Less Developed,Completion rate primary,Rural,99.5,100.1,98.9,100,100,100,96.5,100.9,92.2,MICS6,2019-2020
Pakistan (Punjab),,SA,SA,Less Developed,Completion rate primary,Total,66.2,67.3,65.1,67.3,68.5,66.1,60.8,63.5,58,MICS6,2017-2018
Pakistan (Punjab),,SA,SA,Less Developed,Completion rate primary,Male,67.3,68.8,65.8,68.5,70.1,66.8,61.7,65.4,58,MICS6,2017-2018
Pakistan (Punjab),,SA,SA,Less Developed,Completion rate primary,Female,65.1,66.7,63.5,66.1,67.9,64.4,59.7,63.8,55.6,MICS6,2017-2018
Pakistan (Punjab),,SA,SA,Less Developed,Completion rate primary,Urban,78.2,79.9,76.4,79.3,81.2,77.4,72.6,77.2,68.1,MICS6,2017-2018
Pakistan (Punjab),,SA,SA,Less Developed,Completion rate primary,Rural,59.7,61,58.3,60.8,62.3,59.4,53.8,57.1,50.4,MICS6,2017-2018
Samoa,WSM,EAP,EAP,Less Developed,Completion rate primary,Total,83.5,87.8,79.2,83.9,88.6,79.2,81.5,92,71.1,MICS6,2019-2020
Samoa,WSM,EAP,EAP,Less Developed,Completion rate primary,Male,80.5,86.7,74.4,82,88.5,75.4,,,,MICS6,2019-2020
Samoa,WSM,EAP,EAP,Less Developed,Completion rate primary,Female,87.6,93.4,81.9,86.6,93.3,79.8,,,,MICS6,2019-2020
Samoa,WSM,EAP,EAP,Less Developed,Completion rate primary,Urban,77.4,86.1,68.6,78,88.1,67.8,,,,MICS6,2019-2020
Samoa,WSM,EAP,EAP,Less Developed,Completion rate primary,Rural,85.4,90.3,80.5,85.3,90.7,80,,,,MICS6,2019-2020
Sao Tome and Principe,STP,SSA,WCA,Least Developed,Completion rate primary,Total,87.2,90.2,84.1,89.5,92.6,86.4,76.8,85.4,68.2,MICS7,2019
Sao Tome and Principe,STP,SSA,WCA,Least Developed,Completion rate primary,Male,85,89.7,80.4,89.5,93.9,85,,,,MICS8,2019
Sao Tome and Principe,STP,SSA,WCA,Least Developed,Completion rate primary,Female,89.1,93,85.3,89.6,93.8,85.3,87.1,96.3,77.9,MICS9,2019
Sao Tome and Principe,STP,SSA,WCA,Least Developed,Completion rate primary,Urban,87.8,91.8,83.9,88.9,93.1,84.6,83.4,93.4,73.4,MICS10,2019
Sao Tome and Principe,STP,SSA,WCA,Least Developed,Completion rate primary,Rural,85.9,90.7,81.2,90.7,95.1,86.3,,,,MICS11,2019
Sierra Leone,SLE,SSA,WCA,Least Developed,Completion rate primary,Total,65.5,67.6,63.3,66.2,68.5,63.8,62.5,67.6,57.4,MICS6,2017
Sierra Leone,SLE,SSA,WCA,Least Developed,Completion rate primary,Male,65.2,68.3,62,66.5,70,63,59.7,67.2,52.2,MICS6,2017
Sierra Leone,SLE,SSA,WCA,Least Developed,Completion rate primary,Female,65.7,68.7,62.8,65.9,69.1,62.7,65,72,58.1,MICS6,2017
Sierra Leone,SLE,SSA,WCA,Least Developed,Completion rate primary,Urban,82.7,85.4,80.1,83,85.9,80.1,81.7,87.9,75.5,MICS6,2017
Sierra Leone,SLE,SSA,WCA,Least Developed,Completion rate primary,Rural,45.5,48.5,42.6,47.1,50.4,43.8,38.7,45.5,31.9,MICS6,2017
Pakistan (Sindh),,SA,SA,Less Developed,Completion rate primary,Total,45.2,47.1,43.4,45.3,47.3,43.3,44.8,49.7,39.9,MICS6,2018-2019
Pakistan (Sindh),,SA,SA,Less Developed,Completion rate primary,Male,49.3,51.9,46.8,49.8,52.5,47.1,46.1,53,39.1,MICS6,2018-2019
Pakistan (Sindh),,SA,SA,Less Developed,Completion rate primary,Female,40.9,43.5,38.3,40.5,43.3,37.7,43.6,50.6,36.6,MICS6,2018-2019
Pakistan (Sindh),,SA,SA,Less Developed,Completion rate primary,Urban,62,64.5,59.5,62.7,65.4,60,58.3,64.5,52.1,MICS6,2018-2019
Pakistan (Sindh),,SA,SA,Less Developed,Completion rate primary,Rural,28.8,31.1,26.4,29.5,32,26.9,22.4,29.1,15.7,MICS6,2018-2019
Suriname,SUR,LAC,LAC,Less Developed,Completion rate primary,Total,83.4,86,80.9,84,86.7,81.3,79.9,87.3,72.4,MICS6,2018
Suriname,SUR,LAC,LAC,Less Developed,Completion rate primary,Male,81.4,85.1,77.8,82.2,86,78.4,77.3,88.2,66.4,MICS6,2018
Suriname,SUR,LAC,LAC,Less Developed,Completion rate primary,Female,85.8,89.3,82.3,86.1,89.8,82.3,83.8,93.7,73.9,MICS6,2018
Suriname,SUR,LAC,LAC,Less Developed,Completion rate primary,Urban,86.6,89.8,83.4,87.8,91.1,84.5,78.4,89.2,67.5,MICS6,2018
Suriname,SUR,LAC,LAC,Less Developed,Completion rate primary,Rural,77.2,81.3,73,76.2,80.7,71.7,82.3,92.4,72.2,MICS6,2018
Turks and Caicos Islands,TCA,LAC,LAC,Not Classified,Completion rate primary,Total,96.4,100.6,92.2,97,101,93,,,,MICS6,2019-2020
Turks and Caicos Islands,TCA,LAC,LAC,Not Classified,Completion rate primary,Male,99,102.1,95.9,,,,,,,MICS6,2019-2020
Turks and Caicos Islands,TCA,LAC,LAC,Not Classified,Completion rate primary,Female,90.8,100.8,80.8,,,,,,,MICS6,2019-2020
Turks and Caicos Islands,TCA,LAC,LAC,Not Classified,Completion rate primary,Urban,96.1,101,91.1,96.7,101.5,91.9,,,,MICS6,2019-2020
Turks and Caicos Islands,TCA,LAC,LAC,Not Classified,Completion rate primary,Rural,100,100,100,,,,,,,MICS6,2019-2020
Togo,TGO,SSA,WCA,Least Developed,Completion rate primary,Total,79.7,82.3,77.1,79.9,82.9,77,79,84.8,73.3,MICS6,2017
Togo,TGO,SSA,WCA,Least Developed,Completion rate primary,Male,81.6,85.1,78.1,82.5,86.4,78.6,77.9,86.6,69.3,MICS6,2017
Togo,TGO,SSA,WCA,Least Developed,Completion rate primary,Female,77.5,81.4,73.7,76.7,81.2,72.2,80,87.6,72.3,MICS6,2017
Togo,TGO,SSA,WCA,Least Developed,Completion rate primary,Urban,86.1,89.8,82.5,87.4,91.4,83.4,82.4,90.9,74,MICS6,2017
Togo,TGO,SSA,WCA,Least Developed,Completion rate primary,Rural,75.3,78.8,71.7,75,79,70.9,76.3,84.1,68.5,MICS6,2017
Tonga,TON,EAP,EAP,Less Developed,Completion rate primary,Total,99,100,98,99,100.1,98,,,,MICS6,2019
Tonga,TON,EAP,EAP,Less Developed,Completion rate primary,Male,99.6,100.5,98.8,99.6,100.5,98.7,,,,MICS6,2019
Tonga,TON,EAP,EAP,Less Developed,Completion rate primary,Female,98.4,100.2,96.6,98.5,100.4,96.6,,,,MICS6,2019
Tonga,TON,EAP,EAP,Less Developed,Completion rate primary,Urban,98.3,100.8,95.8,99.1,101,97.2,,,,MICS6,2019
Tonga,TON,EAP,EAP,Less Developed,Completion rate primary,Rural,99.1,100.2,98.1,99,100.2,97.8,,,,MICS6,2019
Tunisia,TUN,MENA,MENA,Less Developed,Completion rate primary,Total,93.7,95.2,92.3,94.2,95.8,92.6,92.4,95.6,89.1,MICS6,2018
Tunisia,TUN,MENA,MENA,Less Developed,Completion rate primary,Male,92.4,94.6,90.1,94,96.3,91.7,87.6,93.2,81.9,MICS6,2018
Tunisia,TUN,MENA,MENA,Less Developed,Completion rate primary,Female,95,96.9,93.2,94.4,96.6,92.2,97,100.1,93.9,MICS6,2018
Tunisia,TUN,MENA,MENA,Less Developed,Completion rate primary,Urban,97.4,98.6,96.3,97.4,98.7,96.1,97.5,99.9,95.1,MICS6,2018
Tunisia,TUN,MENA,MENA,Less Developed,Completion rate primary,Rural,86.5,90,83,87.6,91.5,83.8,83.5,91.2,75.8,MICS6,2018
Turkmenistan,TKM,ECA,EECA,Less Developed,Completion rate primary,Total,100,100,100,100,100,100,,,,MICS6,2019
Turkmenistan,TKM,ECA,EECA,Less Developed,Completion rate primary,Male,100,100,100,100,100,100,,,,MICS6,2019
Turkmenistan,TKM,ECA,EECA,Less Developed,Completion rate primary,Female,100,100,100,100,100,100,,,,MICS6,2019
Turkmenistan,TKM,ECA,EECA,Less Developed,Completion rate primary,Urban,100,100,100,100,100,100,,,,MICS6,2019
Turkmenistan,TKM,ECA,EECA,Less Developed,Completion rate primary,Rural,100,100,100,100,100,100,,,,MICS6,2019
Tuvalu,TUV,EAP,EAP,Least Developed,Completion rate primary,Total,100,100,100,100,100,100,,,,MICS6,2019-2020
Tuvalu,TUV,EAP,EAP,Least Developed,Completion rate primary,Male,100,100,100,,,,,,,MICS6,2019-2020
Tuvalu,TUV,EAP,EAP,Least Developed,Completion rate primary,Female,100,100,100,,,,,,,MICS6,2019-2020
Tuvalu,TUV,EAP,EAP,Least Developed,Completion rate primary,Urban,100,100,100,,,,,,,MICS6,2019-2020
Tuvalu,TUV,EAP,EAP,Least Developed,Completion rate primary,Rural,100,100,100,,,,,,,MICS6,2019-2020
Zimbabwe,ZWE,SSA,ESA,Less Developed,Completion rate primary,Total,90,91.8,88.3,91.8,93.4,90.1,77,84.5,69.5,MICS6,2019
Zimbabwe,ZWE,SSA,ESA,Less Developed,Completion rate primary,Male,87.8,90.4,85.2,89.3,91.9,86.7,78.1,87.7,68.5,MICS6,2019
Zimbabwe,ZWE,SSA,ESA,Less Developed,Completion rate primary,Female,92.5,94.7,90.3,94.4,96.4,92.4,75.2,87.3,63.1,MICS6,2019
Zimbabwe,ZWE,SSA,ESA,Less Developed,Completion rate primary,Urban,98.2,99.5,96.9,98.5,99.8,97.3,,,,MICS6,2019
Zimbabwe,ZWE,SSA,ESA,Less Developed,Completion rate primary,Rural,86.9,89.2,84.5,89.1,91.4,86.7,71,80.4,61.5,MICS6,2019
>>>>>>> 2c31782b18a27a546917a81c71ec24b06648a7c1
